date;home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;country;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
17/11/2020;Spain;Germany;6;14;1639;1607;6;0;UEFA Nations League;Spain;Win;86.0;90.0;86.8;83.7;85.8;83.5;85.0;86.8
17/11/2020;Japan;Mexico;27;11;1503;1625;0;2;Friendly;Austria;Lose;72.0;79.0;75.5;75.7;76.8;76.8;83.7;78.2
17/11/2020;South Korea;Qatar;38;57;1464;1391;2;1;Friendly;Austria;Win;75.0;;72.5;75.7;77.0;;;
17/11/2020;Uruguay;Brazil;7;3;1637;1725;0;2;FIFA World Cup qualification;Uruguay;Lose;82.0;90.0;82.5;82.3;81.0;84.8;87.3;86.0
15/11/2020;Belgium;England;1;4;1765;1669;2;0;UEFA Nations League;Belgium;Win;89.0;82.0;81.0;86.0;85.2;84.5;87.7;83.8
14/11/2020;Portugal;France;5;2;1661;1752;0;1;UEFA Nations League;Portugal;Lose;84.0;87.0;83.8;84.3;85.2;85.5;86.7;87.0
14/11/2020;Switzerland;Spain;16;6;1589;1639;1;1;UEFA Nations League;Switzerland;Draw;86.0;86.0;78.2;75.0;80.5;86.8;83.7;85.8
14/11/2020;Mexico;South Korea;11;38;1625;1464;3;2;Friendly;Austria;Win;79.0;75.0;76.8;83.7;78.2;72.5;75.7;77.0
13/11/2020;Costa Rica;Qatar;50;57;1427;1391;1;1;Friendly;Austria;Draw;87.0;;71.0;68.7;68.5;;;
12/11/2020;Wales;USA;20;22;1550;1542;0;0;Friendly;Wales;Draw;75.0;76.0;75.2;70.0;79.8;75.5;76.7;75.2
11/11/2020;Belgium;Switzerland;1;16;1765;1589;2;1;Friendly;Belgium;Win;89.0;86.0;81.0;86.0;85.2;78.2;75.0;80.5
11/11/2020;Netherlands;Spain;15;6;1596;1639;1;1;Friendly;Netherlands;Draw;81.0;86.0;85.2;82.3;84.0;86.8;83.7;85.8
14/10/2020;England;Denmark;4;16;1664;1593;0;1;UEFA Nations League;England;Lose;82.0;84.0;84.5;87.7;83.8;79.0;77.7;80.5
14/10/2020;Croatia;France;8;2;1628;1744;1;2;UEFA Nations League;Croatia;Lose;80.0;87.0;78.8;78.7;84.0;85.5;86.7;87.0
13/10/2020;Germany;Switzerland;14;15;1602;1600;3;3;UEFA Nations League;Germany;Draw;90.0;86.0;83.5;85.0;86.8;78.2;75.0;80.5
13/10/2020;Ecuador;Uruguay;64;6;1368;1645;4;2;FIFA World Cup qualification;Ecuador;Win;74.0;82.0;76.8;78.0;75.5;82.5;82.3;81.0
12/10/2020;Ghana;Qatar;46;55;1439;1396;5;1;Friendly;Turkey;Win;67.0;;74.8;76.3;78.2;;;
11/10/2020;England;Belgium;4;1;1664;1773;2;1;UEFA Nations League;England;Win;82.0;89.0;84.5;87.7;83.8;81.0;86.0;85.2
11/10/2020;France;Portugal;2;5;1744;1653;0;0;UEFA Nations League;France;Draw;87.0;84.0;85.5;86.7;87.0;83.8;84.3;85.2
10/10/2020;Spain;Switzerland;7;15;1642;1600;1;0;UEFA Nations League;Spain;Win;86.0;86.0;86.8;83.7;85.8;78.2;75.0;80.5
09/10/2020;Japan;Cameroon;28;53;1500;1413;0;0;Friendly;Netherlands;Draw;72.0;84.0;75.5;75.7;76.8;78.2;77.0;75.8
09/10/2020;Morocco;Senegal;43;20;1456;1555;3;1;Friendly;Morocco;Win;76.0;79.0;77.5;80.7;79.2;79.2;81.3;79.2
08/10/2020;England;Wales;4;21;1664;1550;3;0;Friendly;England;Win;82.0;75.0;84.5;87.7;83.8;75.2;70.0;79.8
08/10/2020;Argentina;Ecuador;9;64;1623;1368;1;0;FIFA World Cup qualification;Argentina;Win;82.0;74.0;80.0;90.0;82.5;76.8;78.0;75.5
07/10/2020;Netherlands;Mexico;13;11;1603;1621;0;1;Friendly;Netherlands;Lose;81.0;79.0;85.2;82.3;84.0;76.8;83.7;78.2
07/10/2020;Portugal;Spain;5;7;1653;1642;0;0;Friendly;Portugal;Draw;84.0;86.0;83.8;84.3;85.2;86.8;83.7;85.8
07/10/2020;Switzerland;Croatia;15;8;1600;1628;1;2;Friendly;Switzerland;Lose;86.0;80.0;78.2;75.0;80.5;78.8;78.7;84.0
08/09/2020;Denmark;England;16;4;1598;1661;0;0;UEFA Nations League;Denmark;Draw;84.0;82.0;79.0;77.7;80.5;84.5;87.7;83.8
08/09/2020;France;Croatia;2;6;1733;1642;4;2;UEFA Nations League;France;Win;87.0;80.0;85.5;86.7;87.0;78.8;78.7;84.0
06/09/2020;Switzerland;Germany;12;15;1608;1602;1;1;UEFA Nations League;Switzerland;Draw;86.0;90.0;78.2;75.0;80.5;83.5;85.0;86.8
05/09/2020;Denmark;Belgium;16;1;1598;1765;0;2;UEFA Nations League;Denmark;Lose;84.0;89.0;79.0;77.7;80.5;81.0;86.0;85.2
05/09/2020;Portugal;Croatia;7;6;1639;1642;4;1;UEFA Nations League;Portugal;Win;84.0;80.0;83.8;84.3;85.2;78.8;78.7;84.0
04/09/2020;Netherlands;Poland;14;19;1604;1559;1;0;UEFA Nations League;Netherlands;Win;81.0;87.0;85.2;82.3;84.0;77.0;83.3;77.5
03/09/2020;Germany;Spain;15;8;1602;1636;1;1;UEFA Nations League;Germany;Draw;90.0;86.0;83.5;85.0;86.8;86.8;83.7;85.8
01/02/2020;USA;Costa Rica;22;46;1540;1442;1;0;Friendly;USA;Win;76.0;87.0;76.5;74.7;76.8;74.0;69.7;70.8
18/12/2019;South Korea;Japan;41;28;1459;1500;1;0;EAFF Championship;South Korea;Win;74.0;73.0;72.5;73.0;78.5;77.0;77.0;77.2
